,route_prediction,perf_prediction,diff_altitude,geo_distance,userid,workoutid,heart_rate_avg,speed_avg,elapsed_time
21954,0,0,-0.180933788419,-0.0545270591974,2831390,573610037,0E-18,13.565596529300000000,3298
21955,0,1,-0.0371352694929,-0.202248454094,2798532,575132865,162.000000000000000000,8.932649980400000000,1646
21956,0,1,-0.162769764662,-0.235691905022,10122140,576470243,131.685000000000000000,8.616725361400000000,923
21957,0,2,-0.112314149737,-0.152752637863,3808,580346219,131.703000000000000000,11.187586046500000000,1735
21958,0,1,-0.108277700841,-0.0972438454628,9008533,593388863,138.000000000000000000,9.645090685600000000,3704
21959,0,2,-0.180933788419,-0.274593859911,229190,600525871,151.000000000000000000,10.651188933100000000,5492
21960,0,1,-0.0573175176978,-0.125576525927,5421474,602116721,135.000000000000000000,7.566430253800000000,3316
21961,0,2,-0.0925027504563,0.0579565539956,11258520,624785416,153.664000000000000000,10.766358641100000000,4041
21962,0,2,-0.107268586755,-0.109673947096,6601602,625174334,127.000000000000000000,10.860999736300000000,2778
21963,0,0,-0.12593716383,-0.0156318619847,854368,636273526,0E-18,9.637379342500000000,3619
21964,0,2,-0.113827817142,-0.167531892657,2344846,636304882,158.463000000000000000,12.478984539700000000,1582
21965,0,1,-0.180933788419,-0.0859611555934,2333172,637152651,146.000000000000000000,8.018619979400000000,3976
21966,0,2,-0.136532843113,-0.11702658236,1676051,642472642,142.000000000000000000,10.396280929800000000,2701
21967,0,2,-0.0536090321839,0.0566274598241,81753,4024321,158.079000000000000000,10.866034535500000000,117378
21968,0,2,-0.0960520505905,-0.0347498990595,983950,10158598,172.540000000000000000,16.588908206100000000,2406
21969,0,2,-0.0563084073365,-0.0898117274046,983950,20834518,136.918000000000000000,11.178872262900000000,3096
21970,0,2,-0.099689617753,-0.0395069010556,69,41610750,154.236000000000000000,12.353275496600000000,3090
21971,0,1,-0.0608494132757,-0.0362518317997,7197311,98447511,126.998000000000000000,9.825573146000000000,5517
21972,0,1,-0.109791368246,0.0323543697596,283321,109633682,175.964000000000000000,9.453657332300000000,5284
21973,0,2,-0.148137643933,-0.20825894177,7780362,112827469,156.097000000000000000,11.045102836400000000,1016
21974,0,2,-0.180933788419,-0.0607853271067,1958069,168777574,141.000000000000000000,10.866988283900000000,3140
21975,0,2,-0.106259472668,-0.0143905514851,7178673,173807231,169.000000000000000000,12.552531537100000000,2914
21976,0,1,-0.10575491935,-0.107422828674,8632256,197241782,142.584000000000000000,10.056142962100000000,2868
21977,0,2,-0.0936455652118,-0.0325114838779,114073,198982293,165.000000000000000000,14.387456446000000000,2877
21978,0,2,-0.128459945321,-0.0984711423516,8632256,211062459,152.939000000000000000,11.106667287600000000,2920
