index,workoutid,route_prediction,perf_prediction,userid,diff_altitude,geo_distance,heart_rate_avg,speed_avg,elapsed_time,user_avg_speed,user_avg_dist
721,29180643,1,0,1732973,0.0234742686152,-0.372836261988,137.540000000000000000,8.453906554100000000,4213,8.7000672862700000000000,-0.351378209889
722,262875423,1,0,1732973,-0.04436532408,-0.351537287235,134.522000000000000000,9.038041114400000000,3998,8.7000672862700000000000,-0.351378209889
723,165757814,1,0,1732973,-0.0836412906647,-0.179040417075,144.720000000000000000,9.329336924200000000,4700,8.7000672862700000000000,-0.351378209889
724,275234463,1,0,1732973,-0.0943526253104,-0.352320760489,131.234000000000000000,8.065908492100000000,4476,8.7000672862700000000000,-0.351378209889
725,280205916,1,0,1732973,-0.0568626597524,-0.359477698803,125.426000000000000000,8.206452580000000000,4338,8.7000672862700000000000,-0.351378209889
726,260107930,1,0,1732973,-0.0497214011848,-0.352460563183,134.988000000000000000,8.909749789900000000,4057,8.7000672862700000000000,-0.351378209889
727,650153014,1,0,1732973,-0.136298790574,-0.432192087173,139.000000000000000000,9.174093194000000000,3541,8.7000672862700000000000,-0.351378209889
728,411269347,1,2,1520156,-0.189894452691,-0.246652320027,145.904000000000000000,12.306455135500000000,2458,11.7668698551000000000000,-0.278335049748
729,583927886,1,2,1520156,-0.195094302297,-0.227106779814,150.053000000000000000,11.791744057600000000,2656,11.7668698551000000000000,-0.278335049748
730,178837475,1,2,1520156,-0.200294166803,-0.361246049404,144.378000000000000000,11.202410372200000000,2451,11.7668698551000000000000,-0.278335049748
731,449000954,1,2,2587574,-0.164638012648,-0.304312616587,129.000000000000000000,12.146218487400000000,2421,12.4157578153333333333333,-0.29746350646
732,368104166,1,1,2587574,-0.14458142221,-0.260355830193,53.823300000000000000,13.188553597000000000,2440,12.4157578153333333333333,-0.29746350646
733,265099902,1,2,2587574,0.509114861488,-0.327722072601,136.020000000000000000,11.912501361600000000,2443,12.4157578153333333333333,-0.29746350646
734,399502353,1,0,732008,0.341308027506,-0.239327892661,153.000000000000000000,8.830841229100000000,3915,8.8308412291000000000000,-0.239327892661
735,237239037,1,2,2484395,-0.033898755908,-0.353100091219,166.833000000000000000,13.672407698100000000,1884,13.8081439706750000000000,-0.311122816056
